iter	Logloss
0	0.6898866795
1	0.6868633332
2	0.6846387574
3	0.6816163352
4	0.6787022332
5	0.6752647984
6	0.6728633245
7	0.6700975536
8	0.6672639818
9	0.6644788684
10	0.6618674006
11	0.6601040827
12	0.6581658163
13	0.6554965822
14	0.6523258204
15	0.6500966936
16	0.6484319083
17	0.6457001191
18	0.6441696094
19	0.6421800765
20	0.6393851153
21	0.6370195841
22	0.6345589186
23	0.6329533982
24	0.6314315228
25	0.6289481563
26	0.6264987981
27	0.6236654708
28	0.6224295009
29	0.6212279617
30	0.618435652
31	0.6169246858
32	0.6144070712
33	0.6122924852
34	0.6107146086
35	0.6091701307
36	0.6071070952
37	0.6051120935
38	0.6029526891
39	0.6008931191
40	0.5985771785
41	0.5964519286
42	0.5945737262
43	0.5922766183
44	0.5904391296
45	0.5891519462
46	0.5875967204
47	0.5862408876
48	0.5848950532
49	0.582889457
50	0.5816424302
51	0.5803970434
52	0.5780618351
53	0.5759349218
54	0.5747878941
55	0.5738922211
56	0.5721449217
57	0.5704107392
58	0.5688930365
59	0.5674616868
60	0.5662316988
61	0.5644722866
62	0.5625941757
63	0.5610779508
64	0.5595428969
65	0.5578465114
66	0.5564957969
67	0.5553250567
68	0.5537074697
69	0.5523115721
70	0.5512541947
71	0.5499177714
72	0.5481611769
73	0.5472969239
74	0.5460816494
75	0.5442677411
76	0.5433104899
77	0.5423014401
78	0.5408431211
79	0.5398004557
80	0.5383070793
81	0.536796482
82	0.5356359024
83	0.5347237838
84	0.5333289186
85	0.5322879403
86	0.5304675511
87	0.5293357701
88	0.5283033376
89	0.5269739058
90	0.5263096214
91	0.5247927267
92	0.5236756511
93	0.5223565995
94	0.5215897624
95	0.5203370365
96	0.5191910926
97	0.51817455
98	0.517014955
99	0.5160503954
100	0.5148526352
101	0.5139234868
102	0.5129577946
103	0.5116244524
104	0.5108149599
105	0.5097687419
106	0.5089995067
107	0.5081455048
108	0.5073224696
109	0.5060650016
110	0.5049561814
111	0.5036569183
112	0.5024963077
113	0.5016279699
114	0.5001534729
115	0.4993849017
116	0.4980356571
117	0.4967920234
118	0.4957384582
119	0.4945966442
120	0.4934773367
121	0.4927640526
122	0.49177672
123	0.4904053761
124	0.4897419649
125	0.4889463463
126	0.4876048841
127	0.4862471847
128	0.4857627477
129	0.4852354555
130	0.4842127523
131	0.4835647386
132	0.4827134438
133	0.482150847
134	0.4814606904
135	0.4804996681
